Year,Global_Temp,Paris_Temp
1750,8.72,11.18
1751,7.98,11.15
1752,5.78,6.97
1753,8.39,10.40
1754,8.47,10.15
1755,8.36,9.84
1756,8.85,10.20
1757,9.02,10.02
1758,6.74,9.62
1759,7.99,10.66
1760,7.19,10.50
1761,8.77,10.55
1762,8.61,10.06
1763,7.50,9.83
1764,8.40,10.31
1765,8.25,10.15
1766,8.41,9.99
1767,8.22,10.01
1768,6.78,10.07
1769,7.69,10.10
1770,7.69,9.99
1771,7.85,9.98
1772,8.19,10.94
1773,8.22,10.35
1774,8.77,10.32
1775,9.18,10.92
1776,8.30,10.25
1777,8.26,10.17
1778,8.54,10.80
1779,8.98,11.36
1780,9.43,10.63
1781,8.10,11.40
1782,7.90,9.53
1783,7.68,11.01
1784,7.86,9.45
1785,7.36,9.49
1786,8.26,9.65
1787,8.03,10.53
1788,8.45,10.48
1789,8.33,9.80
1790,7.98,10.59
1791,8.23,10.65
1792,8.09,10.60
1793,8.23,10.66
1794,8.53,11.09
1795,8.35,10.37
1796,8.27,10.26
1797,8.51,10.55
1798,8.67,10.52
1799,8.51,8.89
1800,8.48,10.46
1801,8.59,10.64
1802,8.58,10.46
1803,8.50,9.90
1804,8.84,10.46
1805,8.56,9.09
1806,8.43,11.16
1807,8.28,10.24
1808,7.63,9.52
1809,7.08,9.90
1810,6.92,9.87
1811,6.86,11.17
1812,7.05,9.36
1813,7.74,9.77
1814,7.59,9.22
1815,7.24,10.06
1816,6.94,8.89
1817,6.98,10.06
1818,7.83,10.76
1819,7.37,10.79
1820,7.62,9.68
1821,8.09,10.67
1822,8.19,11.54
1823,7.72,10.00
1824,8.55,10.48
1825,8.39,10.87
1826,8.36,10.70
1827,8.81,10.08
1828,8.17,11.02
1829,7.94,8.76
1830,8.52,9.59
1831,7.64,10.80
1832,7.45,10.02
1833,8.01,10.26
1834,8.15,11.57
1835,7.39,10.18
1836,7.70,10.30
1837,7.38,9.80
1838,7.51,9.29
1839,7.63,10.19
1840,7.80,9.63
1841,7.69,10.15
1842,8.02,9.99
1843,8.17,10.36
1844,7.65,9.70
1845,7.85,9.43
1846,8.55,11.41
1847,8.09,10.01
1848,7.98,10.39
1849,7.98,10.34
1850,7.90,9.79
1851,8.18,9.76
1852,8.10,10.98
1853,8.04,9.32
1854,8.21,10.23
1855,8.11,8.98
1856,8.00,10.32
1857,7.76,10.88
1858,8.10,9.94
1859,8.25,11.09
1860,7.96,9.15
1861,7.85,10.30
1862,7.56,10.82
1863,8.11,10.78
1864,7.98,9.36
1865,8.18,10.78
1866,8.29,10.77
1867,8.44,10.10
1868,8.25,11.33
1869,8.43,10.31
1870,8.20,9.72
1871,8.12,9.43
1872,8.19,11.07
1873,8.35,10.36
1874,8.43,10.29
1875,7.86,10.17
1876,8.08,10.57
1877,8.54,10.49
1878,8.83,10.13
1879,8.17,8.68
1880,8.12,10.47
1881,8.27,9.87
1882,8.13,10.20
1883,7.98,9.97
1884,7.77,10.66
1885,7.92,9.78
1886,7.95,10.10
1887,7.91,9.05
1888,8.09,9.12
1889,8.32,9.48
1890,7.97,9.34
1891,8.02,9.53
1892,8.07,9.80
1893,8.06,10.79
1894,8.16,10.31
1895,8.15,9.83
1896,8.21,9.80
1897,8.29,10.48
1898,8.18,10.79
1899,8.40,10.74
1900,8.50,10.79
1901,8.54,9.90
1902,8.30,9.83
1903,8.22,10.27
1904,8.09,10.40
1905,8.23,10.01
1906,8.38,10.50
1907,7.95,10.11
1908,8.19,9.92
1909,8.18,9.59
1910,8.22,10.32
1911,8.18,11.16
1912,8.17,10.34
1913,8.30,10.76
1914,8.59,10.53
1915,8.59,10.21
1916,8.23,10.39
1917,8.02,9.37
1918,8.13,10.54
1919,8.38,9.69
1920,8.36,10.67
1921,8.57,11.43
1922,8.41,9.79
1923,8.42,10.46
1924,8.51,10.10
1925,8.53,10.11
1926,8.73,10.84
1927,8.52,10.32
1928,8.63,10.93
1929,8.24,10.10
1930,8.63,10.87
1931,8.72,9.94
1932,8.71,10.38
1933,8.34,10.32
1934,8.63,11.14
1935,8.52,10.62
1936,8.55,10.50
1937,8.70,10.93
1938,8.86,10.73
1939,8.76,10.55
1940,8.76,9.72
1941,8.77,9.93
1942,8.73,9.99
1943,8.76,11.20
1944,8.85,10.48
1945,8.58,11.30
1946,8.68,10.35
1947,8.80,11.29
1948,8.75,10.95
1949,8.59,11.51
1950,8.37,10.77
1951,8.63,10.59
1952,8.64,10.53
1953,8.87,10.84
1954,8.56,10.25
1955,8.63,10.44
1956,8.28,9.59
1957,8.73,10.94
1958,8.77,10.62
1959,8.73,11.66
1960,8.58,10.83
1961,8.80,11.43
1962,8.75,9.55
1963,8.86,9.14
1964,8.41,10.45
1965,8.53,9.94
1966,8.60,10.82
1967,8.70,10.77
1968,8.52,10.20
1969,8.60,10.53
1970,8.70,10.51
1971,8.60,10.63
1972,8.50,10.19
1973,8.95,10.57
1974,8.47,10.91
1975,8.74,10.73
1976,8.35,11.41
1977,8.85,10.69
1978,8.69,10.03
1979,8.73,10.05
1980,8.98,10.07
1981,9.17,10.66
1982,8.64,11.27
1983,9.03,11.17
1984,8.69,10.65
1985,8.66,9.87
1986,8.83,10.17
1987,8.99,10.05
1988,9.20,11.30
1989,8.92,11.77
1990,9.23,11.96
1991,9.18,10.60
1992,8.84,11.15
1993,8.87,10.70
1994,9.04,11.96
1995,9.35,11.69
1996,9.04,10.14
1997,9.20,11.59
1998,9.52,11.25
1999,9.29,11.83
2000,9.20,11.74
2001,9.41,11.37
2002,9.57,11.87
2003,9.53,11.91
2004,9.32,11.34
2005,9.70,11.55
2006,9.53,11.79
2007,9.73,11.75
2008,9.43,11.28
2009,9.51,11.46
2010,9.70,10.41
2011,9.52,12.33
2012,9.51,11.22
2013,9.61,11.01
